var,N,mean,sd,p1,p25,p50,p75,p99
age,414918,12.650176661412617,8.939063333437778,0,6,11,20,30
tanass_clean,414721,123615.9260700037,10621783.643358627,0,0,756,10209,1084577.7999999921
sales_clean,414248,278616.9683267639,8085749.851779013,0,400,10143,51382,2788139.529999991
pretax,414914,18989.897991174064,1479063.196388804,-35146.83,-136,383,4383,267371.8799999999
persexp_clean,412448,31572.988354926118,650718.6306538285,0,0,1906.75,7923,365606.6699999988
satok,413161,241011.86713352875,12336270.97456967,-39808.99999999999,1764,5840,24217,1541733.4000000078
export,414918,82155.99055082454,6064744.043708589,0,0,0,0,41417.13000000018
ereduzem,413767,15620.608148368514,499594.63892804435,-31135.34,-154,373,4410,239179.5999999987
emp,367418,6.959639974089461,102.02623409137384,0,0,1,3,81
