term,estimate,std.error,statistic,p.value
(Intercept),1.621672516962317,0.10398316330700275,15.595529751046778,8.134330650197495e-55
age,-0.014466855946397659,0.006500033754097667,-2.2256585878923554,0.02603766999082553
tanass_clean,-1.0157488110954705e-7,5.095362275428103e-9,-19.934771193675903,2.2667445661334608e-88
sales_clean,1.1370440367343961e-6,1.7588366874703667e-8,64.64750507164716,0
pretax,3.204510095414609e-7,9.768694474525538e-8,3.2803872654336965,0.0010367444327794813
persexp_clean,1.615817044120859e-4,1.2153710841505727e-7,1329.484521388099,0
satok,-2.790177674209081e-7,5.376699896875147e-9,-51.893870361458866,0
export,-3.5848161303667227e-6,1.8280866094421446e-8,-196.0966242983782,0
ereduzem,-1.2525226612447958e-5,1.6414184232781202e-7,-76.30733538029564,0
