county,N,share
1,151925,0.36556022088812423
13,63326,0.1523743067168758
8,16285,0.03918478326255128
3,15808,0.038037031244360496
9,15552,0.037421046932710936
5,15014,0.0361265174027599
7,13287,0.03197102948784273
6,13024,0.0313382018551715
2,12540,0.030173606515959045
15,12107,0.029131726801333028
19,10852,0.026111959961019744
11,10241,0.024641778654699888
20,8777,0.021119118372453952
NA,8673,0.020868874745846318
14,8504,0.02046222885260891
16,7968,0.01917251170009264
10,7784,0.018729772976094516
18,7465,0.017962198775249943
4,6737,0.016210493388996498
17,5984,0.014398633284808527
12,3742,0.009003958180440091
