var,N,min,max,median,mean,sd,skewness,excess_kurtosis,p0001,p01,p05,p10,p25,p50,p75,p90,p95,p99,p999
age,414918,0,143,11,12.650176661412617,8.939063333437778,0.7071763754618745,1.3029558754775863,0,0,0,2,6,11,20,25,28,30,60
tanass_clean,414721,0,6179226000,756,123615.9260700037,10621783.643358627,496.94923462591464,279904.8951285361,0,0,0,0,0,756,10209,59248,163113,1084577.7999999921,12335381.880000241
eszk,414900,0,10138804000,12800,541808.850128737,27233040.81779018,200.8741387794379,58224.77805682323,0,1,145,872,3424,12800,53756.25,213032.20000000007,525572.9999999998,3344616.220000015,54679862.805003084
sales_clean,414248,0,2829625349,10143,278616.9683267639,8085749.851779013,180.61079761020437,49442.608261082605,0,0,0,0,400,10143,51382,216189.19999999995,491398.0999999995,2788139.529999991,32097670.03700228
pretax,414914,-628578497,257109564,383,18989.897991174064,1479063.196388804,-191.44586005664135,91516.00250345533,-528066.755,-35146.83,-5450,-2195.699999999997,-136,383,4383,20852.70000000001,49397.04999999993,267371.8799999999,2766995.1059999946
persexp_clean,412448,0,152818236,1906.75,31572.988354926118,650718.6306538285,114.51831377301082,19096.181277540323,0,0,0,0,0,1906.75,7923,25819,57141.649999999965,365606.6699999988,3710888.6220002742
satok,413161,-42969174,3493614347,5840,241011.86713352875,12336270.97456967,161.28154380608353,33610.4190856876,-423621.11999999994,-39808.99999999999,-6762,-1212,1764,5840,24217,98747,245917,1541733.4000000078,20397533.24000162
export_value,19092,0,3588807679.0976725,0,2447103.734536008,36618494.99235588,60.35994520706252,5149.22564547958,0,0,0,0,0,0,14185.570258746746,1498511.9213937472,5046440.508377593,37883324.31693072,315416255.6396756
ereduzem,413767,-69429000,94298348,373,15620.608148368514,499594.63892804435,60.99384030571774,13454.059532309933,-419882.99,-31135.34,-5310,-2184,-154,373,4410,20470.800000000047,47222.19999999972,239179.5999999987,1950607.6459999909
emp,367418,0,30447,1,6.959639974089461,102.02623409137384,135.58153459279137,29580.719680498318,0,0,0,0,0,1,3,9,18,81,639.5829999999842
liabilities,414593,0,6297400832,3790,187519.6188467746,12424334.43920018,370.61665747020254,170023.49336122297,0,0,0,4,358,3790,20912,89863.79999999999,223491.39999999962,1530074.3200000161,18363602.767999627
