age,tanass_clean,eszk,sales_clean,pretax,persexp_clean,satok,export_value,ereduzem,emp,liabilities
1,0.011088652139471385,0.016235310202922147,0.02943427228462767,0.01323861721070928,0.04696188553953565,0.008920063513883842,0.028686901229751614,0.028282932095056244,0.047428304074268846,0.0078961305964936
0.011088652139471385,1,0.4701812972768582,0.17128332833530494,0.04886647355360544,0.29651025335525116,0.09998679966605077,0.15082650571805822,0.13871479702081105,0.2754068015396533,0.8923182760035198
0.016235310202922147,0.4701812972768582,1,0.4040568083795181,0.28935271705383525,0.4988617882128833,0.6687765525418441,0.3749166948681736,0.3298034662171868,0.346392967446151,0.7577477612882403
0.02943427228462767,0.17128332833530494,0.4040568083795181,1,0.29086353508723506,0.6811306231088325,0.4541208823311077,0.8956678484500983,0.608828370986027,0.5294266492961233,0.19866899853752412
0.01323861721070928,0.04886647355360544,0.28935271705383525,0.29086353508723506,1,0.24480927661923868,0.25673478247294346,0.20355165406192938,0.3688383947153407,0.27411791874301394,0.053876922222896084
0.04696188553953565,0.29651025335525116,0.4988617882128833,0.6811306231088325,0.24480927661923868,1,0.38819091110938697,0.5635711880297142,0.4683012242999716,0.9166211704022664,0.256728058930594
0.008920063513883842,0.09998679966605077,0.6687765525418441,0.4541208823311077,0.25673478247294346,0.38819091110938697,1,0.46035090217079,0.3301457857154535,0.27628663631635403,0.1618940345998241
0.028686901229751614,0.15082650571805822,0.3749166948681736,0.8956678484500983,0.20355165406192938,0.5635711880297142,0.46035090217079,1,0.5177566026442206,0.374777686203523,0.10697463577678215
0.028282932095056244,0.13871479702081105,0.3298034662171868,0.608828370986027,0.3688383947153407,0.4683012242999716,0.3301457857154535,0.5177566026442206,1,0.33495219142561317,0.16547157736572243
0.047428304074268846,0.2754068015396533,0.346392967446151,0.5294266492961233,0.27411791874301394,0.9166211704022664,0.27628663631635403,0.374777686203523,0.33495219142561317,1,0.2258291542658166
0.0078961305964936,0.8923182760035198,0.7577477612882403,0.19866899853752412,0.053876922222896084,0.256728058930594,0.1618940345998241,0.10697463577678215,0.16547157736572243,0.2258291542658166,1
